State,APMC's,Commodity,Min Price,Modal Price,Max Price,Date
GUJARAT,MORBI,WHEAT,"2,600","2,600","2,680",10-09-2025
HARYANA,DABWALI,SQUASH,"1,000","1,000","1,000",10-09-2025
HARYANA,ELLANABAD,RIDGE GOURD (TURAI),"2,500","2,500","3,600",10-09-2025
HARYANA,ELLANABAD,BOTTLE GOURD,"2,000","2,500","4,000",10-09-2025
HARYANA,FARIDABAD,IVY GOURD (KUNDRU),"1,200","1,200","1,200",10-09-2025
HARYANA,HANSI,CAPSICUM,"5,000","6,000","7,000",10-09-2025
HARYANA,NARAINGARH APMC,GREEN CHILLI,"1,500","2,000","2,500",10-09-2025
HARYANA,SADHAURA APMC,BITTER GOURD,"2,300","2,300","2,500",10-09-2025
HARYANA,SIRSA,CAPSICUM,"3,500","4,500","4,500",10-09-2025
HARYANA,SIRSA,CUCUMBER,"1,400","1,500","1,500",10-09-2025
HARYANA,SOHNA,TOMATO,"3,000","3,000","3,000",10-09-2025
HARYANA,SOHNA,ONION,"1,800","1,800","1,800",10-09-2025
HARYANA,THANESAR,PINE APPLE,"4,000","4,000","4,000",10-09-2025
HARYANA,THANESAR,WATER MELON,"3,000","3,000","3,000",10-09-2025
HIMACHAL PRADESH,DHARAMSHALA,BANANA,"4,400","4,400","4,400",10-09-2025
HIMACHAL PRADESH,KANGRA,PUMPKIN,"2,000","2,000","2,000",10-09-2025
JAMMU AND KASHMIR,KATHUA,BANANA,"3,500","3,500","3,500",10-09-2025
JAMMU AND KASHMIR,PHALAYANA,SNAKE GOURD,"3,500","3,500","3,500",10-09-2025
JAMMU AND KASHMIR,UDHAMPUR,TOMATO,"3,000","3,000","3,000",10-09-2025
ODISHA,RAIRAKHOL,CABBAGE,"3,000","3,000","3,000",10-09-2025
PUDUCHERRY,THATTANCHAVADY,RAGI-LOCAL,"3,949","3,949","3,949",10-09-2025
RAJASTHAN,AJMER F AND V,WATER MELON,"1,500","1,502","1,504",10-09-2025
RAJASTHAN,ANOOPGARH,GUAR SEEDS,"4,500","4,500","4,700",10-09-2025
RAJASTHAN,BARMER,GINGER,"4,040","4,040","4,040",10-09-2025
RAJASTHAN,BIKANER F AND V,CAPSICUM,"2,980","3,000","3,000",10-09-2025
RAJASTHAN,BIKANER F AND V,RADDISH,"1,380","1,390","1,400",10-09-2025
RAJASTHAN,BIKANER F AND V,SPINACH (PALAK),"1,480","1,500","1,500",10-09-2025
RAJASTHAN,NAWALGARH,BAJRA,"2,300","2,300","2,300",10-09-2025
RAJASTHAN,PRATAPGARH RJ,CHANA (BENGAL GRAM),"4,000","5,266","5,300",10-09-2025
RAJASTHAN,SIKAR,GARLIC,"5,000","6,000","6,000",10-09-2025
TAMIL NADU,CHETPET,GROUNDNUT KERNEL_80 KG(TN),"5,154","9,462","9,462",10-09-2025
TAMIL NADU,EDAPPADI,COTTON,"4,599","4,691","5,669",10-09-2025
TAMIL NADU,GUDIYATHAM,PADDY RNR (TN),"2,134","2,134","2,134",10-09-2025
TAMIL NADU,KONGANAPURAM,COPRA,"11,516","24,037","24,459",10-09-2025
TAMIL NADU,TINDIVANAM,GREEN GRAM,"5,200","6,607","6,910",10-09-2025
TAMIL NADU,VIKIRAVANDI,PADDY(75 KG),"1,710","1,747","1,747",10-09-2025
TELANGANA,DEVARAKADRA,PADDY-HAMSA,"1,701","1,701","1,701",10-09-2025
TELANGANA,HYDERABAD,CHILLI-273,"13,000","15,000","15,000",10-09-2025
UTTAR PRADESH,HASANPUR APMC,LEMON,"3,000","3,000","3,000",10-09-2025
UTTAR PRADESH,HATHRAS,BRINJAL,820,950,950,10-09-2025
UTTAR PRADESH,KHALILABAD,BITTER GOURD,"1,500","1,500","1,500",10-09-2025
UTTAR PRADESH,KHALILABAD,CUCUMBER,"1,550","1,550","1,550",10-09-2025
